id,address,sq ft,pets,lease,avail,rent $,parking,Location,Unit Type,Lease Type,Rent,Available,Bedroom(s),Bathroom(s),Square Footage,Resident Utilities,Laundry Location,School District,Parking Details,Pets Allowed,Restrictions,Amenities,Link
17064_325,319 N Blair St #3,455,C+D,Campus,8/16/24,$1365,Street,Campus,Apartment,Campus,"$1,365 /mo",8/16/2024,1,1.0,455 Sq Ft,Unit Electricity . $25 per person per month for Water and Sewer.,"Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave']",https://www.madisonproperty.com/unit?id=17064_325
17060_325,323 N Blair St #2,910,C+D,Campus,8/16/24,$2175,Street,Campus,Apartment,Campus,"$2,175 /mo",8/16/2024,2,1.0,910 Sq Ft,$25 per person per month for Water and Sewer.,"Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave', 'Porch', 'Lake View']",https://www.madisonproperty.com/unit?id=17060_325
17061_325,323 N Blair St #3,945,C+D,Campus,8/16/24,$1945,Street,Campus,Apartment,Campus,"$1,945 /mo",8/16/2024,1,1.0,945 Sq Ft,$25 per person per month for Water and Sewer.,"Nearby (Washer: $1.75, Dryer: $1.75)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Hardwood floors', 'Dishwasher', 'Bus route nearby', 'Microwave']",https://www.madisonproperty.com/unit?id=17061_325
15834_327,1320 Bowen Ct # 422,1016,No,Sublet,5/1/24,$1065,$,Campus,Apartment,Sublet,"$1,065 /mo",5/1/2024,3,2.0,1016 Sq Ft,"Unit Electricity (Stove, A/C). Unit Gas (Heat). Landlord provides Internet.",On site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,"['Dishwasher', 'Furnished', 'Bus route nearby', 'Breakfast bar', 'Microwave', 'Stainless appliances', 'Community room on-site', 'Building has an elevator', 'Central Air', 'Balcony', 'Luxury Vinyl Plank', 'Granite Countertops', 'Internet Included', '']",https://www.madisonproperty.com/unit?id=15834_327
1529_343,411 S Brearly St #2,722,C+D*,Standard,7/1/24,$1300,Street,Downtown,Apartment,Standard,"$1,300 /mo",7/1/2024,2,1.0,722 Sq Ft,"Unit Electricity (Heat, Stove, Hot Water).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & CatsPet Restrictions: No more than 1 dog. Dog must be under 50lbs,No Smoking Allowed. A 550 credit score requirement applies for applications.,"['Hardwood floors', 'Private Entrance', 'Balcony', '']",https://www.madisonproperty.com/unit?id=1529_343
14279_382,2414 Brentwood Pkwy #B,740,No,Short Term w/ Renewal,3/1/24,$1295,Free,North,Apartment,Short Term w/ Renewal Option,"$1,295 /mo",3/1/2024,2,1.0,740 Sq Ft,"Unit Electricity (Stove, A/C). Unit Gas (Heat, Hot Water). $20/person/month for Water and Sewer.","On Site (Washer: $1.50, Dryer: $1.50)","Elem: Emerson, Mid: Sherman, High: East",Parking Included; 1 Stall,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Air Conditioning', 'Storage space', 'Patio', 'Private Entrance']",https://www.madisonproperty.com/unit?id=14279_382
13593_325,842 S Brooks St #2,540,C+D,Campus,8/16/24,$1250,Street,Campus,Flat,Campus,"$1,250 /mo",8/16/2024,1,1.0,540 Sq Ft,Unit Electricity (Stove),Laundromat,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Storage space', 'Heat included', 'Deck', 'Balcony', '3 Season Porch', '']",https://www.madisonproperty.com/unit?id=13593_325
14292_343,2404 Calypso Rd #1,645,No,Standard,4/12/24,$1295,Free,North,Apartment,Standard,"$1,295 /mo",4/12/2024,2,1.0,645 Sq Ft,"Unit Electricity (Stove). Unit Gas (Heat, Hot Water). $20/person/month for Water and Sewer.","On Site (Washer: $1.50, Dryer: $1.50)","Elem: Emerson, Mid: Sherman, High: East",Parking Included; 1 parking stall,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Air Conditioning', 'Storage space']",https://www.madisonproperty.com/unit?id=14292_343
1728_325,402 Chamberlain Ave #3,340,C*,Campus,8/16/24,$950,$,Campus,Apartment,Campus,$950 /mo,8/16/2024,1,1.0,340 Sq Ft,"Unit Electricity (Stove, A/C).",On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid parking indoor or outdoor on-site,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed.,"['Carpeted', 'Air Conditioning', 'Storage space', 'Bus route nearby', 'Underground garage', 'Heat included', 'Gas (Utility) Included', '']",https://www.madisonproperty.com/unit?id=1728_325
2101_327,402 Chamberlain Ave #12,350,C*,Sublet,6/1/24,$950,$,Campus,Apartment,Sublet,$950 /mo,6/1/2024,1,1.0,350 Sq Ft,"Unit Electricity (Stove, A/C).",On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid parking indoor or outdoor on-site,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed.,"['Carpeted', 'Air Conditioning', 'Storage space', 'Bus route nearby', 'Underground garage', 'Heat included']",https://www.madisonproperty.com/unit?id=2101_327
1934_326,404 Chamberlain Ave #5,350,C*,Short Term,5/14/24,$950,$,Campus,Apartment,Short Term,$950 /mo,5/14/2024,1,1.0,350 Sq Ft,"Unit Electricity (Stove, A/C).",On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid parking indoor or outdoor on-site,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed.,"['Carpeted', 'Air Conditioning', 'Storage space', 'Bus route nearby', 'Underground garage', 'Heat included']",https://www.madisonproperty.com/unit?id=1934_326
2077_325,13 Coyne Ct #10,680,C*,Campus,8/16/24,$1395,Street,Campus,Apartment,Campus,"$1,395 /mo",8/16/2024,1,1.0,680 Sq Ft,"Unit Electricity (Heat, Stove).","Nearby (Washer: $1.50, Dryer: $1.75)","Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed.,"['Carpeted', 'Bus route nearby', 'Breakfast bar', 'Gas (Utility) Included']",https://www.madisonproperty.com/unit?id=2077_325
2429_327,1323 W Dayton St #203,802,No,Sublet,5/14/24,$2705,$,Campus,Apartment,Sublet,"$2,705 /mo",5/14/2024,2,2.0,802 Sq Ft,Landlord pays all utilities. Landlord provides Internet and Cable.,Each Floor,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Dishwasher', 'Furnished', 'Electricity Included', 'Bus route nearby', 'Breakfast bar', 'Microwave', 'Underground garage', 'Heat included', 'Stainless appliances', 'Community room on-site', 'Building has an elevator', 'Property has on-site vending machines', 'Central Air', 'Cable and Internet Included', 'Balcony', 'Luxury Vinyl Plank', 'Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=2429_327
